Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
33,,,,,,,4.61925629,50.66899697,178.663,Global,0.169,0.188,0.390,0.253,2.074,m,SINGLE,NONE,2026-03-11 11:19:23.6 UTC+01:00,2026-03-11 11:19:28.6 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
34,,,,,,,4.61926910,50.66901600,178.819,Global,0.131,0.164,0.335,0.209,2.074,m,SINGLE,NONE,2026-03-11 11:19:40.8 UTC+01:00,2026-03-11 11:19:45.8 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
35,,,,,,,4.61923843,50.66902064,179.059,Global,0.161,0.172,0.364,0.235,2.074,m,SINGLE,NONE,2026-03-11 11:19:58.2 UTC+01:00,2026-03-11 11:20:03.2 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
36,,,,,,,4.61924248,50.66904343,178.234,Global,0.137,0.160,0.338,0.211,2.074,m,SINGLE,NONE,2026-03-11 11:20:20.6 UTC+01:00,2026-03-11 11:20:25.6 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
37,,,,,,,4.61925872,50.66905141,177.552,Global,0.131,0.155,0.322,0.203,2.074,m,SINGLE,NONE,2026-03-11 11:20:41.4 UTC+01:00,2026-03-11 11:20:46.4 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
38,,,,,,,4.61925302,50.66906766,177.695,Global,0.120,0.151,0.321,0.193,2.074,m,SINGLE,NONE,2026-03-11 11:21:01.8 UTC+01:00,2026-03-11 11:21:06.8 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
39,,,,,,,4.61931540,50.66893387,180.307,Global,0.122,0.156,0.324,0.198,2.074,m,SINGLE,NONE,2026-03-11 11:22:52.4 UTC+01:00,2026-03-11 11:22:57.4 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
40,,,,,,,4.61931760,50.66893365,179.664,Global,0.120,0.148,0.310,0.191,2.074,m,SINGLE,NONE,2026-03-11 11:23:16.0 UTC+01:00,2026-03-11 11:23:21.0 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
41,,,,,,,4.61931339,50.66893875,179.596,Global,0.149,0.168,0.356,0.224,2.074,m,SINGLE,NONE,2026-03-11 11:23:38.6 UTC+01:00,2026-03-11 11:23:43.6 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
42,,,,,,,4.61938101,50.66893902,180.013,Global,0.123,0.170,0.340,0.210,2.074,m,SINGLE,NONE,2026-03-11 11:24:11.8 UTC+01:00,2026-03-11 11:24:16.8 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
